NU_INSCRICAO;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;
210053648014;517.6;586.5;484.7;523.2;540;
210053600556;456.7;657.7;551.6;483.7;520;
210051053036;0;0;0;0;0;
210052711907;531.1;548.4;558.5;580.4;880;
210053566384;433;501.7;425.1;370.5;500;
210054115890;405.8;548.7;443.5;377.5;420;
210053391086;0;0;0;0;0;
210052691621;432.7;395.4;356.9;398.3;540;
210052284014;486.2;493.6;471.1;454.8;660;
210051847614;0;587.9;504.6;0;680;
210052149449;0;0;0;0;0;
210053100373;476;541.7;526.9;418.8;820;
210052440784;0;0;0;0;0;
210052052536;508.3;545.8;548;571.1;660;
210054044930;508.6;425.9;517;504.2;780;
210053361742;484.4;519;545.7;420.1;620;
210052847701;425.9;494.6;477.9;386.9;600;
210053045422;0;0;0;0;0;
210053431539;466.2;491.3;490.2;455.1;700;
210053802786;653.4;698.3;612.7;731.1;960;
210052755791;0;0;0;0;0;
210053232224;528.9;613.6;555.2;552.5;540;
210052767443;0;0;0;0;0;
210052244044;499.6;541.1;473.9;518.7;800;
210053093436;394;454.2;322.7;359;460;
210051119643;552.3;624.2;585.1;622.7;860;
210052932260;544.6;614.7;455.6;621.5;680;
210052817794;447.4;413.2;464.4;433.1;440;
210053239970;0;0;0;0;0;
210053134756;514.7;417.7;390.2;392.9;580;
210053362368;427.4;422;507.4;547.3;540;
210052386901;589.5;710.5;614.5;662.3;880;
210053858607;489.9;374.7;471.6;434.6;580;
210051813853;467.6;399.3;344.1;502.8;580;
210054446245;0;0;0;0;0;
210053718444;477.5;495;444;566.5;640;
210053586860;0;0;0;0;0;
210053585434;396;357.4;406.4;404.8;620;
210052064228;0;0;0;0;0;
210053237040;0;0;0;0;0;
210054200195;0;0;0;0;0;
210052399622;0;0;0;0;0;
210054240986;0;446.3;508.2;0;640;
210051444280;473.9;425.8;422.6;399.5;420;
210053565432;409.2;502.9;415.7;479.6;600;
210051640799;0;0;0;0;0;
210052975308;626.7;693.7;601.3;638.1;600;
210052691957;547.6;585.8;466.3;447.8;500;
210053908199;0;0;0;0;0;
210052610414;570.7;686.8;631.8;534;920;
210053184786;420.2;496.1;360.9;372.6;520;
210052889626;709.9;702.2;685.3;765.3;820;
210051274052;0;0;0;0;0;
210052411536;0;0;0;0;0;
210051899455;504.6;532.5;507.8;557.3;580;
210051045789;460;373.2;468.7;497.6;520;
210051755977;521.4;420.1;454.7;433;480;
210051324230;421.4;442.1;490.2;605.6;660;
210053562584;469.5;443;407.7;433.6;600;
210052014537;494.3;438.5;492.2;630.9;640;
210051738357;0;0;0;0;0;
210054032958;0;0;0;0;0;
210054174121;630.5;585.6;558.7;680.8;820;
210051094738;488;392.8;494.2;440.6;580;
210054042139;0;0;0;0;0;
210053248072;503.5;502.3;489.7;450.3;480;
210051245947;577.3;582;515.5;427.9;620;
210053030175;461.5;484.8;409.7;396.2;540;
210053580417;522.5;624.4;592;623.4;940;
210052334728;470.2;611;614.4;698;820;
210054015547;633.7;662.5;546.6;757;860;
210051217511;422.9;484.4;309.4;499.3;500;
210051650278;582.1;592.5;545.9;460.9;720;
210053518905;545.3;613.5;579.2;700;540;
210051233217;476.2;547;512.3;536.4;880;
210053580265;467.2;511.6;490.5;432.4;700;
210052173452;555;639.3;550.4;582.8;720;
210052083214;611.5;635.3;559.5;509.5;880;
210051020121;415.7;435.6;423.5;426.4;340;
210052596899;620.6;592.5;551.4;685;840;
210051668769;513.6;558.8;456.1;445.9;500;
210054013153;580.6;538.9;527.5;511.6;760;
210053167022;486.6;564.3;459.2;451.2;520;
210053666349;0;0;0;0;0;
210052776872;0;0;0;0;0;
210054015262;712.2;730.7;630.9;845.7;880;
210051355812;561.8;567.6;481.4;506.3;500;
210053574236;420.3;413;421.5;467.6;560;
210052918715;468.4;593.6;482.1;529.8;460;
210052183256;473.8;554.8;576.2;687.9;680;
210051255741;0;0;0;0;0;
210051279279;0;0;0;0;0;
210051457356;0;0;0;0;0;
210051722639;681.9;643.7;611.5;809.2;900;
210053368618;655.9;680.3;578.7;758.9;880;
210054260973;0;0;0;0;0;
210052093380;0;0;0;0;0;
210051046910;541.8;626.7;618.4;647.4;760;
210053856101;0;0;0;0;0;
210051138637;358.5;339.6;408.8;424.1;460;
210052002265;0;0;0;0;0;
210051720219;562.1;626.3;590.5;738.4;880;
210052835986;717.1;688.3;650.4;804.1;940;
210053739973;368.7;544.2;487.8;518.1;840;
210053587186;449;405.7;459.8;520.6;420;
210052636579;467;481.4;482;419.8;640;
